,index_x,article_order,fp_timestamp,headline,src_x,url,index_y,article_id_x,num_neg,num_tweets,prop_neg,sis,zsis,article_id_y,fp_url,status_id,level_0,index,link_name,num_angries,num_comments,num_hahas,num_likes,num_loves,num_reactions,num_sads,num_shares,num_thankfuls,num_wows,status_link,status_message,status_published,status_type,retrieved_time,src_y,prop_neg_fb,prop_angry_fb
0,317,5.0,2016-09-15-0722,How Samsung Botched Its Galaxy Note 7 Recall,wsj,http://www.wsj.com/articles/samsungs-management-of-recall-wounds-companys-image-1473928872,482,2016-09-15-0722-wsj-5,52,508,0.102362204724,0.102004000882,0.405760979571,2016-09-15-0722-wsj-5,http://www.wsj.com/articles/samsungs-management-of-recall-wounds-companys-image-1473928872,8304333127_10154701461613128,2416.0,90,How Samsung Botched Its Galaxy Note 7 Recall,0,19,13,193,2,208,0,36,0,0,http://on.wsj.com/2ct24kq,"""Samsung cannot afford to lose an inch of competitive ground to Apple in its home U.S. market.""",2016-09-18 01:00:30,link,2016-09-19-1723,wsj,0.0,0.0
1,336,24.0,2016-09-15-0722,"Philippine President Duterte Ordered Killings as Mayor, Witness Says",wsj,http://www.wsj.com/articles/philippine-president-duterte-ordered-killings-as-mayor-witness-says-1473931292,384,2016-09-15-0722-wsj-24,9,91,0.0989010989011,0.0973304630897,0.327832322463,2016-09-15-0722-wsj-24,http://www.wsj.com/articles/philippine-president-duterte-ordered-killings-as-mayor-witness-says-1473931292,8304333127_10154701260613128,2419.0,93,"Philippine President Duterte Ordered Killings as Mayor, Senate Witness Says",25,60,5,178,7,245,5,42,0,25,http://on.wsj.com/2ct1Hqf,"""We were tasked to kill criminals like drug dealers, rapists, [purse] snatchers. We kill those types every day.""",2016-09-17 23:00:28,link,2016-09-19-1723,wsj,0.122448979592,0.102040816327
2,346,34.0,2016-09-15-0722,Inmate-Trained Dogs Give Veterans Some Love,wsj,http://www.wsj.com/articles/inmate-trained-dogs-give-veterans-some-love-1473931981,38,2016-09-15-0722-wsj-34,1,40,0.025,0.0345396444012,-0.719169840933,2016-09-15-0722-wsj-34,http://www.wsj.com/articles/inmate-trained-dogs-give-veterans-some-love-1473931981,8304333127_10154703185623128,2387.0,61,Inmate-Trained Dogs Give Veterans Some Love,0,6,0,127,16,143,0,22,0,0,http://on.wsj.com/2csCZ40,"Puppies Behind Bars pairs service dogs, trained by prison inmates, with military veterans suffering from post-traumatic stress disorder.",2016-09-18 14:20:08,link,2016-09-19-1723,wsj,0.0,0.0
3,354,42.0,2016-09-15-0722,Bayer-Monsanto Deal Would Forge New Agricultural Force,wsj,http://www.wsj.com/articles/bayer-and-monsanto-expected-to-announce-takeover-1473839357,527,2016-09-15-0722-wsj-42,53,771,0.0687418936446,0.0688649218511,-0.146814829486,2016-09-15-0722-wsj-42,http://www.wsj.com/articles/bayer-and-monsanto-expected-to-announce-takeover-1473839357,8304333127_10154702231658128,2404.0,78,Bayer-Monsanto Deal Would Forge New Agricultural Force,157,126,2,513,12,741,14,580,0,43,http://on.wsj.com/2cszs5E,"Bayer plans to fuse its prowess in pesticides with Monsanto's capabilities in seed genetics and biotechnology, which have allowed it to develop crops that can survive weed-killing sprays and make natural toxins to repel bugs.",2016-09-18 08:00:54,link,2016-09-19-1723,wsj,0.230769230769,0.211875843455
4,374,62.0,2016-09-15-0722,Inside the Smithsonian’s New African-American Museum,wsj,http://www.wsj.com/articles/inside-americas-new-african-american-museum-1473877093,603,2016-09-15-0722-wsj-62,4,97,0.0412371134021,0.0443280400905,-0.555953758122,2016-09-15-0722-wsj-62,http://www.wsj.com/articles/inside-americas-new-african-american-museum-1473877093,8304333127_10154703026408128,2391.0,65,Inside America's New African-American Museum,1,39,1,919,45,988,0,238,0,22,http://on.wsj.com/2cuu7zP,"Inside the eight-story, $540 million museum on the last five acres available on the Mall.",2016-09-18 13:00:48,link,2016-09-19-1723,wsj,0.00101214574899,0.00101214574899
5,413,6.0,2016-09-15-0722,Philippine leader 'killed man with Uzi',bbc,http://www.bbc.com/news/world-asia-37370848,819,2016-09-15-0722-bbc-6,27,181,0.149171270718,0.146129485452,1.14152902291,2016-09-15-0722-bbc-6,http://www.bbc.com/news/world-asia-37370848,228735667216_10153923696652217,2526.0,99,'Duterte ordered us to kill',67,265,71,828,8,1003,7,82,0,22,http://bbc.in/2cv2jZ7,Allegations about Rody Duterte from a former death squad member.,2016-09-15 23:05:57,link,2016-09-19-1723,bbc,0.073778664008,0.0667996011964
6,71,1.0,2016-09-19-0722,Manhattan Bombs Provide Trove of Clues; F.B.I. Questions 5 People,nyt,http://www.nytimes.com/2016/09/19/nyregion/new-york-explosion-chelsea.html,760,2016-09-19-0722-nyt-1,83,1605,0.0517133956386,0.0518609934572,-0.430345928244,2016-09-19-0722-nyt-1,http://www.nytimes.com/2016/09/19/nyregion/new-york-explosion-chelsea.html,5281959998_10150905435464999,2698.0,55,Bombs Filled With Shrapnel Give Clues Into New York Explosions,172,88,0,323,4,670,144,361,0,27,http://nyti.ms/2cQt1Ne,"Two bombs planted in Manhattan were filled with shrapnel and designed to inflict maximum damage, the authorities said.",2016-09-18 18:59:37,link,2016-09-19-1723,nyt,0.471641791045,0.25671641791
7,72,2.0,2016-09-19-0722,Airstrike on Syrian Troops Weakens U.S. Effort to Curb Violence,nyt,http://www.nytimes.com/2016/09/19/world/middleeast/us-bombing-syria.html,607,2016-09-19-0722-nyt-2,32,371,0.0862533692722,0.0861205194471,0.140912713984,2016-09-19-0722-nyt-2,http://www.nytimes.com/2016/09/19/world/middleeast/us-bombing-syria.html,5281959998_10150905983264999,2653.0,10,"How a U.S. Airstrike Missed ISIS, but Damaged U.S. Policy in Syria",30,54,2,113,0,198,48,54,0,5,http://nyti.ms/2cJVIuM,"American pilots thought they were aiming at ISIS jihadists but instead killed more than 60 Syrian soldiers, the Russian military said.",2016-09-19 13:04:41,link,2016-09-19-1723,nyt,0.393939393939,0.151515151515
8,73,3.0,2016-09-19-0722,Obama Sees ‘Personal Insult’ if Blacks Don’t Rally for Hillary Clinton,nyt,http://www.nytimes.com/2016/09/19/us/politics/obama-trump-clinton.html,693,2016-09-19-0722-nyt-3,15,373,0.0402144772118,0.0410907823935,-0.609933239247,2016-09-19-0722-nyt-3,http://www.nytimes.com/2016/09/19/us/politics/obama-trump-clinton.html,5281959998_10150905614349999,2677.0,34,Obama Sees 'Personal Insult' if Blacks Don't Rally for Hillary Clinton,37,318,118,3889,307,4372,5,314,0,16,http://nyti.ms/2d9Zbkw,"""My name may not be on the ballot, but our progress is on the ballot,"" Barack Obama said.",2016-09-19 04:55:00,link,2016-09-19-1723,nyt,0.0096065873742,0.00846294602013
9,75,5.0,2016-09-19-0722,‘We Built an App’: Keeping Track of Louisiana’s Flood-Tossed Tombs,nyt,http://www.nytimes.com/2016/09/19/us/we-built-an-app-keeping-track-of-louisianas-flood-tossed-dead.html,437,2016-09-19-0722-nyt-5,4,285,0.0140350877193,0.0159197346806,-1.02964653429,2016-09-19-0722-nyt-5,http://www.nytimes.com/2016/09/19/us/we-built-an-app-keeping-track-of-louisianas-flood-tossed-dead.html,5281959998_10150905164529999,2322.0,77,'We Built an App': Keeping Track of Louisiana's Flood-Tossed Tombs,1,39,2,193,4,355,100,85,0,55,http://nyti.ms/2cZGn6U,Coffins were strewn about. Floodwater-filled graves sat empty. And there was no way to tell which coffin went where.,2016-09-18 12:55:00,link,2016-09-19-2027,nyt,0.284507042254,0.00281690140845
